PaymentId,Paid,PaymentMethod,user_id
1,$6.06,credit card,1
2,$2.21,apple pay,2
3,$6.35,apple pay,3
4,$6.74,debit card,4
5,$1.39,paypal,5
6,$2.89,paypal,6
7,$6.08,debit card,7
8,$0.58,debit card,8
9,$4.19,credit card,9
10,$6.21,paypal,10
11,$5.16,paypal,11
12,$9.90,debit card,12
13,$3.80,credit card,13
14,$0.73,debit card,14
15,$7.83,apple pay,15
16,$0.27,apple pay,16
17,$0.05,credit card,17
18,$1.26,credit card,18
19,$9.56,debit card,19
20,$2.83,credit card,20
21,$8.91,paypal,21
22,$2.45,apple pay,22
23,$8.88,paypal,23
24,$6.05,paypal,24
25,$0.17,paypal,25
26,$8.64,apple pay,26
27,$6.37,paypal,27
28,$0.71,paypal,28
29,$3.66,debit card,29
30,$6.33,apple pay,30
31,$2.11,paypal,31
32,$2.89,debit card,32
33,$9.74,apple pay,33
34,$8.77,credit card,34
35,$1.22,apple pay,35
36,$9.60,debit card,36
37,$0.65,paypal,37
38,$2.98,paypal,38
39,$1.97,debit card,39
40,$0.26,paypal,40
41,$9.35,debit card,41
42,$6.49,credit card,42
43,$0.88,debit card,43
44,$1.52,paypal,44
45,$7.88,paypal,45
46,$9.57,paypal,46
47,$3.54,paypal,47
48,$5.17,credit card,48
49,$4.24,paypal,49
50,$2.47,paypal,50
